WL,A25ME,A30ME,A35ME,A40ME,A45ME,A50ME,A55ME,A60ME,A65ME,A70ME,A75MEREF,A80ME,A85ME,A90ME
239.7,-596476.7522,-590908.4524,-556895.6533,-615046.3753,-612172.6709,-629800.9767,-607611.3617,-655290.1775,-659298.2389,-652997.5823,-617731.0202,-616946.9208,-610489.0463,-650639.3138
239.6,-613798.5826,-607460.1141,-570619.3829,-632089.5917,-628342.2334,-649063.1546,-622344.072,-672371.2058,-678644.001,-675250.8805,-636676.7722,-638511.6444,-632157.2551,-670347.2741
239.5,-631617.938,-623404.7953,-585264.5288,-649526.8479,-645248.1329,-668120.3522,-637721.5747,-691113.9676,-698021.6047,-698015.6344,-654289.1572,-660743.0515,-655182.7121,-689310.937
239.4,-649934.8184,-638201.1888,-601529.6161,-666832.7575,-661533.1212,-687603.4312,-654480.2068,-710666.7001,-717850.9611,-721224.1806,-673398.0974,-682494.8445,-679038.0408,-707946.2334
239.3,-670211.9473,-654084.1769,-618927.0703,-683551.5876,-679282.8231,-708423.8574,-672908.5328,-732386.6515,-738961.9419,-744709.3507,-693782.6917,-704385.9445,-701806.7749,-726824.322
239.2,-690576.6406,-669332.3231,-637882.7728,-699400.744,-698067.377,-728360.6792,-692540.8693,-755246.9302,-758791.2983,-768853.2439,-714569.2862,-724062.0632,-724722.7764,-745847.6879
239.1,-712043.8493,-685269.0439,-657596.7034,-717379.3074,-716660.8813,-747159.1638,-713044.8696,-779611.7245,-778674.3874,-793669.7909,-735650.4155,-744970.0538,-747437.7778,-765770.579
239,-734727.0091,-702290.3692,-677209.1389,-735411.6035,-736458.3961,-766132.7772,-733757.8304,-803940.697,-797148.4857,-817413.674,-756960.4063,-766415.3714,-769263.2045,-785850.688
238.9,-757225.0896,-719275.8727,-699301.239,-754729.5042,-757276.8322,-784101.3901,-756878.8122,-827163.1739,-817308.1987,-840413.2597,-777615.6542,-786449.7081,-790885.641,-806105.9258
238.8,-779064.447,-737224.5846,-722782.4289,-773784.7117,-778847.5261,-803484.9641,-782626.726,-850114.9972,-837235.07,-863092.4393,-799393.3185,-806300.9556,-811296.1066,-826649.7281
238.7,-801349.5868,-755358.3758,-748912.4419,-793878.7514,-801453.072,-822213.7952,-809554.7691,-873265.8305,-857221.6443,-884205.4102,-821640.6464,-827398.0057,-831045.859,-847249.2532
238.6,-823877.5188,-775211.6134,-775705.1582,-813944.9297,-825061.6283,-841121.7353,-837965.4367,-895626.5941,-877962.4665,-903670.5783,-843209.3502,-849326.9176,-851543.889,-868394.0657
238.5,-846403.4607,-796535.5349,-803333.7165,-835782.297,-850934.9184,-859094.3284,-865325.3315,-915989.2973,-899204.7939,-921635.211,-863422.7959,-870877.7105,-873914.6031,-888953.7888
238.4,-869397.0761,-818844.5559,-830462.7597,-859683.398,-876509.6935,-877295.783,-894225.5637,-934535.0392,-919826.2101,-939536.1605,-883807.3902,-893057.375,-895817.6437,-910920.5126
