WL,MEA25,MEA30,MEA35,MEA40,MEA45,MEA50,MEA55,MEA60,MEA65,MEA70,MEA75,MEA80,MEA85,MEA90
246.8,-158573.1581,-263994.7254,-303774.8343,-311428.7589,-354785.0775,-234628.8098,-323305.6757,-167170.1911,-304738.0427,-331142.6895,-238007.9996,-142620.3175,-140620.267,-168226.5362
246.7,-159586.716,-253920.8392,-305758.964,-311601.8976,-376174.6723,-245777.35,-325104.7261,-198107.2906,-302527.0416,-333329.8094,-246913.6971,-155391.7842,-157538.3061,-186176.8402
246.6,-165499.9002,-240965.2882,-306580.8753,-316236.8405,-393745.2652,-252402.3929,-328893.8765,-232579.0068,-299707.0699,-332354.6604,-257443.3162,-166180.7134,-173624.2844,-202787.2098
246.5,-171577.2675,-231002.8476,-308338.1336,-319554.3372,-406838.1331,-258818.4753,-333487.0273,-266462.4494,-291485.9668,-333479.0669,-267632.6282,-174844.6137,-191383.7378,-222568.8038
246.4,-180719.5879,-228230.6383,-314600.9783,-322633.0219,-419178.7432,-266506.2316,-338436.406,-300174.7434,-284888.7853,-332418.3436,-277433.8707,-184866.5583,-205824.1024,-242969.3189
246.3,-192626.5552,-228929.1634,-320790.1893,-325944.5483,-429481.4909,-274679.5723,-345752.0136,-329307.8173,-281527.5064,-334283.0673,-287844.0838,-192484.8601,-222361.8334,-257771.6827
246.2,-209541.6092,-234324.3245,-326826.1626,-329031.1934,-435073.6719,-286862.9645,-354088.5425,-357907.5444,-282550.4178,-339274.2381,-300443.4069,-201947.3876,-239371.2181,-274436.7801
246.1,-228061.4798,-243912.6263,-331853.1552,-335154.7311,-436331.4151,-304389.7752,-361392.2095,-383603.7156,-281945.4274,-347397.8263,-313671.6016,-212835.2247,-257405.5043,-290789.4318
246,-248569.4603,-256533.8405,-340729.0012,-343385.7847,-433121.3838,-326619.1922,-373450.2254,-409347.6492,-281987.2195,-354335.3149,-331248.1648,-225965.9045,-273857.661,-311679.5115
245.9,-268681.4109,-275352.2261,-353069.6113,-354556.216,-430954.1649,-348645.619,-386023.6772,-430468.5805,-285995.2809,-361756.3978,-352259.6406,-243066.8338,-288648.0842,-336955.7716
245.8,-293223.3241,-296381.6128,-367187.3807,-367832.1731,-427190.8858,-371271.0659,-401468.8433,-448685.9559,-291881.9967,-368074.9653,-377117.9797,-259540.8816,-303054.4181,-360168.298
245.7,-317351.2965,-318628.9407,-381689.2394,-380632.4963,-423320.1413,-394873.6519,-418269.2675,-467146.1235,-297971.7027,-376932.9004,-401050.9223,-276755.2466,-314196.988,-385987.8554
245.6,-337727.9304,-344764.924,-399212.0699,-394429.8596,-421610.6454,-415218.4442,-434259.721,-484077.8943,-302620.5763,-384427.617,-425089.3402,-293527.8094,-324623.1219,-407232.1729
245.5,-355758.2364,-374968.6717,-418303.0992,-408163.5397,-418444.3963,-435443.8305,-450729.7886,-499099.1691,-306732.1229,-395094.553,-448114.7972,-307448.5589,-331938.7295,-425401.7859
245.4,-373093.9975,-405313.7165,-436594.1083,-421686.2692,-416669.2271,-453545.7801,-466901.3412,-514337.3648,-315283.5826,-410553.6498,-469832.7585,-323086.7647,-339763.8027,-444952.5283
245.3,-391486.5017,-435234.87,-450441.2241,-433624.8791,-415389.5928,-472099.4824,-485106.776,-525430.1822,-326358.4891,-426064.4892,-490231.2835,-338776.7131,-345493.3006,-459671.3079
245.2,-407039.1332,-464045.5477,-460594.7143,-440289.724,-416502.0587,-488862.0947,-505736.1526,-533257.2455,-341039.4568,-446347.5884,-511756.2051,-352235.7594,-346997.8162,-476185.1577
245.1,-422175.8338,-493763.711,-471548.2247,-445770.4594,-418458.327,-504341.0925,-532122.8885,-541679.3487,-357481.663,-466157.0438,-533151.7702,-368835.1835,-354283.5723,-499851.4269
245,-436064.7417,-521459.9327,-485277.9246,-450174.5507,-421869.3584,-522096.7647,-559928.5657,-550557.1848,-376721.9498,-483924.6566,-552153.245,-387345.1036,-363089.7648,-520164.3776
244.9,-449392.4414,-548196.9262,-497594.6535,-454302.0181,-428392.9062,-544467.4788,-584862.5286,-555914.534,-395820.9395,-504080.3894,-572199.5223,-405327.6472,-369780.481,-539709.1497
244.8,-463351.0028,-569282.0357,-509917.3527,-459384.7335,-438281.7131,-568119.8173,-609026.3228,-561799.2597,-418957.8421,-518805.1393,-590510.4324,-420545.9419,-375862.2266,-555592.1378
244.7,-476760.2966,-585483.4398,-519931.5359,-464441.5776,-449364.58,-589517.3725,-630885.5812,-567333.7278,-440846.952,-531283.0663,-606930.7475,-435115.464,-386847.5786,-572525.8987
244.6,-493156.7305,-598990.2485,-531969.6508,-475988.1378,-458817.555,-611026.3733,-650697.0267,-577103.1287,-462761.9332,-541683.3289,-619096.2288,-448713.8173,-396067.7119,-591003.9772
244.5,-509789.9863,-609273.0952,-544238.6173,-489216.3325,-473490.5623,-628895.4812,-669143.2636,-584243.6075,-483174.3889,-549765.125,-625850.6282,-458361.8221,-407618.2523,-607275.0348
244.4,-525736.6576,-616891.198,-553886.6221,-504995.8354,-493485.097,-645164.5487,-686877.0447,-589107.4119,-502585.8243,-557168.297,-631659.7301,-463317.1711,-421240.4868,-620109.1897
244.3,-542248.5173,-620224.6155,-564103.7955,-520819.1205,-511953.225,-658390.7533,-699082.328,-594896.6128,-524331.647,-568495.9462,-635050.8605,-467796.8862,-437342.3859,-634059.7907
244.2,-560670.873,-620389.7938,-571881.1063,-540841.5166,-529979.5508,-668609.9168,-708807.9467,-601744.5469,-545082.4197,-579013.6247,-635007.0783,-469349.1642,-455494.088,-640838.0713
244.1,-576211.5639,-621068.4179,-577911.1093,-561713.6854,-551235.8089,-680727.6357,-715631.9996,-611557.73,-562716.6958,-590800.987,-630191.0363,-470537.2539,-476063.7616,-644957.5783
244,-594422.969,-622244.567,-585634.6874,-585399.8556,-575714.0389,-694087.177,-723285.9242,-621778.8836,-584341.1224,-599887.7836,-629357.1844,-472941.2947,-493387.5821,-642394.3295
243.9,-615916.049,-621366.9329,-590894.5217,-609062.1446,-598988.2584,-707317.3618,-731230.4034,-632079.6412,-606492.9255,-611949.7797,-629223.8477,-473054.7304,-511423.8584,-640091.7838
243.8,-637048.9209,-620700.2494,-595865.7915,-634211.0383,-621725.1509,-722253.0623,-736149.9306,-642804.2901,-627934.2629,-623042.5971,-630782.096,-478254.8617,-529766.6101,-636704.6336
243.7,-658997.7338,-619460.4171,-604614.2711,-661491.3291,-643876.954,-736778.8022,-742591.8843,-651457.2449,-649341.7686,-630640.7989,-632441.8394,-483464.9435,-550240.7589,-631404.9973
243.6,-680858.9823,-622584.8741,-617275.2873,-692554.8,-670988.0863,-749268.6698,-749169.1648,-661620.6856,-673485.6618,-637522.5647,-637490.7231,-488032.223,-569015.3623,-626374.0245
243.5,-703737.1719,-630372.1354,-634320.4938,-726344.7079,-698158.9216,-762823.2409,-753565.2957,-670122.3928,-694972.7715,-647136.7378,-644235.172,-496470.247,-585155.0733,-622899.3099
243.4,-730291.0762,-640842.0515,-653186.6418,-758361.4367,-725526.7768,-779138.0807,-758361.4367,-681014.2101,-714887.7022,-658074.3274,-651049.2744,-504271.439,-599945.4965,-619020.605
