WL,BCoh25ME,BCoh30ME,BCoh35ME,BCoh40ME,BCoh45ME,BCoh50ME,BCoh55ME,BCoh60ME,BCoh65ME,BCoh70ME,BCoh75ME,BCoh80ME,Bcoh 85ME,Bcoh90ME
226.3,-13551660.53,-13459209.74,-13487386.18,-13561612.52,-13156814.46,-13009966.12,-12805561.64,-13049147.4,-12802152.4,-12779240.24,-12621111.3,-12496398,-12739557.6,-12731711.32
226.2,-13653536.88,-13547850.19,-13593223.27,-13667750.44,-13269645.53,-13097929.73,-12908866.87,-13148993.24,-12835542.97,-12876754.76,-12722611.63,-12599853.64,-12834063.96,-12822231.86
226.1,-13756842.11,-13642055.74,-13703472.34,-13771206.07,-13384281.49,-13185843.2,-13011470.2,-13241444.03,-12879311.7,-12976700.88,-12818220.98,-12695839.01,-12926915.83,-12910847.24
226,-13856286.86,-13737840.56,-13808757.94,-13873057.36,-13507967,-13276639.5,-13126657.66,-13324043.09,-12931403,-13071508.06,-12915735.5,-12800522.98,-13026586.2,-13002370.51
225.9,-13961497.26,-13830692.44,-13919859.31,-13977064.49,-13625310.31,-13358135.57,-13244978.62,-13403508.65,-12993772.19,-13167142.48,-13012598.26,-12911624.35,-13129841.29,-13090609.87
225.8,-14063649.36,-13925925.77,-14023515.49,-14081322.3,-13737238.93,-13434818.58,-13364101.75,-13486634.14,-13064087.93,-13255682.65,-13106929.14,-13019517.02,-13238611.34,-13169072.71
225.7,-14165751.32,-14019705.16,-14125191.3,-14180040.08,-13841947.97,-13513682.51,-13483475.57,-13565949.29,-13134554.08,-13343721.47,-13196572.31,-13124902.9,-13349737.79,-13251396.02
225.6,-14277053.24,-14113685.09,-14221928.71,-14276376.41,-13940089.19,-13589112.12,-13595654.87,-13643233.93,-13216701.91,-13425618.62,-13285563.71,-13232244.07,-13458232.09,-13320934.66
225.5,-14390912.1,-14205885.19,-14317914.08,-14376498,-14035046.77,-13667725.37,-13708410.73,-13716532.76,-13308400.66,-13507641.12,-13373953.48,-13333619.06,-13566500.78,-13382902.75
225.4,-14506826.53,-14304678.18,-14406830.28,-14477547.11,-14126670.31,-13748970.76,-13805674.57,-13796023.39,-13406968.03,-13598562.76,-13448731.32,-13433640.38,-13669204.38,-13449207.61
225.3,-14624721.34,-14406003.04,-14496548.65,-14583685.02,-14216463.89,-13832121.31,-13893713.39,-13868444.84,-13511200.78,-13697430.95,-13512128.29,-13528522.76,-13767145.06,-13508618.77
225.2,-14733942.61,-14515023.77,-14583735.16,-14686288.34,-14301544.68,-13916801.02,-13976187.11,-13937431.98,-13613528.35,-13791385.81,-13565523.13,-13616711.99,-13858868.87,-13557451.24
225.1,-14839077.8,-14630261.36,-14663000.17,-14779541.3,-14384594.96,-14001681.26,-14053847.77,-14005992.96,-13717109.33,-13885741.76,-13609191.59,-13697330.68,-13940314.8,-13607411.76
